orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,,,,gfpga_pad_GPIO_PAD[0],pad_fpga_io[0],in,,
TOP,,,,gfpga_pad_GPIO_PAD[1],pad_fpga_io[1],in,,
TOP,,,,gfpga_pad_GPIO_PAD[2],pad_fpga_io[2],in,,
TOP,,,,gfpga_pad_GPIO_PAD[3],pad_fpga_io[3],in,,
TOP,,,,gfpga_pad_GPIO_PAD[4],pad_fpga_io[4],in,,
TOP,,,,gfpga_pad_GPIO_PAD[5],pad_fpga_io[5],in,,
TOP,,,,gfpga_pad_GPIO_PAD[6],pad_fpga_io[6],in,,
TOP,,,,gfpga_pad_GPIO_PAD[7],pad_fpga_io[7],in,,
TOP,,,,gfpga_pad_GPIO_PAD[8],pad_fpga_io[8],in,,
TOP,,,,gfpga_pad_GPIO_PAD[9],pad_fpga_io[9],in,,
TOP,,,,gfpga_pad_GPIO_PAD[10],pad_fpga_io[10],in,,
TOP,,,,gfpga_pad_GPIO_PAD[11],pad_fpga_io[11],in,,
TOP,,,,gfpga_pad_GPIO_PAD[12],pad_fpga_io[12],in,,
TOP,,,,gfpga_pad_GPIO_PAD[13],pad_fpga_io[13],in,,
TOP,,,,gfpga_pad_GPIO_PAD[14],pad_fpga_io[14],in,,
TOP,,,,gfpga_pad_GPIO_PAD[15],pad_fpga_io[15],in,,
TOP,,,,gfpga_pad_GPIO_PAD[16],pad_fpga_io[16],in,,
TOP,,,,gfpga_pad_GPIO_PAD[17],pad_fpga_io[17],in,,
TOP,,,,gfpga_pad_GPIO_PAD[18],pad_fpga_io[18],in,,
TOP,,,,gfpga_pad_GPIO_PAD[19],pad_fpga_io[19],in,,
TOP,,,,gfpga_pad_GPIO_PAD[20],pad_fpga_io[20],in,,
TOP,,,,gfpga_pad_GPIO_PAD[21],pad_fpga_io[21],in,,
TOP,,,,gfpga_pad_GPIO_PAD[22],pad_fpga_io[22],in,,
TOP,,,,gfpga_pad_GPIO_PAD[23],pad_fpga_io[23],in,,
TOP,,,,gfpga_pad_GPIO_PAD[24],pad_fpga_io[24],in,,
TOP,,,,gfpga_pad_GPIO_PAD[25],pad_fpga_io[25],in,,
TOP,,,,gfpga_pad_GPIO_PAD[26],pad_fpga_io[26],in,,
TOP,,,,gfpga_pad_GPIO_PAD[27],pad_fpga_io[27],in,,
TOP,,,,gfpga_pad_GPIO_PAD[28],pad_fpga_io[28],in,,
TOP,,,,gfpga_pad_GPIO_PAD[29],pad_fpga_io[29],in,,
TOP,,,,gfpga_pad_GPIO_PAD[30],pad_fpga_io[30],in,,
TOP,,,,gfpga_pad_GPIO_PAD[31],pad_fpga_io[31],in,,
TOP,,,,gfpga_pad_GPIO_PAD[32],pad_fpga_io[32],in,,
TOP,,,,gfpga_pad_GPIO_PAD[33],pad_fpga_io[33],in,,
TOP,,,,gfpga_pad_GPIO_PAD[34],pad_fpga_io[34],in,,
TOP,,,,gfpga_pad_GPIO_PAD[35],pad_fpga_io[35],in,,
TOP,,,,gfpga_pad_GPIO_PAD[36],pad_fpga_io[36],in,,
TOP,,,,gfpga_pad_GPIO_PAD[37],pad_fpga_io[37],in,,
TOP,,,,gfpga_pad_GPIO_PAD[38],pad_fpga_io[38],in,,
TOP,,,,gfpga_pad_GPIO_PAD[39],pad_fpga_io[39],in,,
TOP,,,,gfpga_pad_GPIO_PAD[40],pad_fpga_io[40],in,,
TOP,,,,gfpga_pad_GPIO_PAD[41],pad_fpga_io[41],in,,
TOP,,,,gfpga_pad_GPIO_PAD[42],pad_fpga_io[42],in,,
TOP,,,,gfpga_pad_GPIO_PAD[43],pad_fpga_io[43],in,,
TOP,,,,gfpga_pad_GPIO_PAD[44],pad_fpga_io[44],in,,
TOP,,,,gfpga_pad_GPIO_PAD[45],pad_fpga_io[45],in,,
TOP,,,,gfpga_pad_GPIO_PAD[46],pad_fpga_io[46],in,,
TOP,,,,gfpga_pad_GPIO_PAD[47],pad_fpga_io[47],in,,
TOP,,,,gfpga_pad_GPIO_PAD[48],pad_fpga_io[48],in,,
TOP,,,,gfpga_pad_GPIO_PAD[49],pad_fpga_io[49],in,,
TOP,,,,gfpga_pad_GPIO_PAD[50],pad_fpga_io[50],in,,
TOP,,,,gfpga_pad_GPIO_PAD[51],pad_fpga_io[51],in,,
TOP,,,,gfpga_pad_GPIO_PAD[52],pad_fpga_io[52],in,,
TOP,,,,gfpga_pad_GPIO_PAD[53],pad_fpga_io[53],in,,
TOP,,,,gfpga_pad_GPIO_PAD[54],pad_fpga_io[54],in,,
TOP,,,,gfpga_pad_GPIO_PAD[55],pad_fpga_io[55],in,,
TOP,,,,gfpga_pad_GPIO_PAD[56],pad_fpga_io[56],in,,
TOP,,,,gfpga_pad_GPIO_PAD[57],pad_fpga_io[57],in,,
TOP,,,,gfpga_pad_GPIO_PAD[58],pad_fpga_io[58],in,,
TOP,,,,gfpga_pad_GPIO_PAD[59],pad_fpga_io[59],in,,
TOP,,,,gfpga_pad_GPIO_PAD[60],pad_fpga_io[60],in,,
TOP,,,,gfpga_pad_GPIO_PAD[61],pad_fpga_io[61],in,,
TOP,,,,gfpga_pad_GPIO_PAD[62],pad_fpga_io[62],in,,
TOP,,,,gfpga_pad_GPIO_PAD[63],pad_fpga_io[63],in,,
TOP,,,,gfpga_pad_GPIO_PAD[64],pad_fpga_io[64],in,,
TOP,,,,gfpga_pad_GPIO_PAD[65],pad_fpga_io[65],in,,
TOP,,,,gfpga_pad_GPIO_PAD[66],pad_fpga_io[66],in,,
TOP,,,,gfpga_pad_GPIO_PAD[67],pad_fpga_io[67],in,,
TOP,,,,gfpga_pad_GPIO_PAD[68],pad_fpga_io[68],in,,
TOP,,,,gfpga_pad_GPIO_PAD[69],pad_fpga_io[69],in,,
TOP,,,,gfpga_pad_GPIO_PAD[70],pad_fpga_io[70],in,,
TOP,,,,gfpga_pad_GPIO_PAD[71],pad_fpga_io[71],in,,
TOP,,,,gfpga_pad_GPIO_PAD[72],pad_fpga_io[72],in,,
TOP,,,,gfpga_pad_GPIO_PAD[73],pad_fpga_io[73],in,,
TOP,,,,gfpga_pad_GPIO_PAD[74],pad_fpga_io[74],in,,
TOP,,,,gfpga_pad_GPIO_PAD[75],pad_fpga_io[75],in,,
TOP,,,,gfpga_pad_GPIO_PAD[76],pad_fpga_io[76],in,,
TOP,,,,gfpga_pad_GPIO_PAD[77],pad_fpga_io[77],in,,
TOP,,,,gfpga_pad_GPIO_PAD[78],pad_fpga_io[78],in,,
TOP,,,,gfpga_pad_GPIO_PAD[79],pad_fpga_io[79],in,,
TOP,,,,gfpga_pad_GPIO_PAD[80],pad_fpga_io[80],in,,
TOP,,,,gfpga_pad_GPIO_PAD[81],pad_fpga_io[81],in,,
TOP,,,,gfpga_pad_GPIO_PAD[82],pad_fpga_io[82],in,,
TOP,,,,gfpga_pad_GPIO_PAD[83],pad_fpga_io[83],in,,
TOP,,,,gfpga_pad_GPIO_PAD[84],pad_fpga_io[84],in,,
TOP,,,,gfpga_pad_GPIO_PAD[85],pad_fpga_io[85],in,,
TOP,,,,gfpga_pad_GPIO_PAD[86],pad_fpga_io[86],in,,
TOP,,,,gfpga_pad_GPIO_PAD[87],pad_fpga_io[87],in,,
TOP,,,,gfpga_pad_GPIO_PAD[88],pad_fpga_io[88],in,,
TOP,,,,gfpga_pad_GPIO_PAD[89],pad_fpga_io[89],in,,
TOP,,,,gfpga_pad_GPIO_PAD[90],pad_fpga_io[90],in,,
TOP,,,,gfpga_pad_GPIO_PAD[91],pad_fpga_io[91],in,,
TOP,,,,gfpga_pad_GPIO_PAD[92],pad_fpga_io[92],in,,
TOP,,,,gfpga_pad_GPIO_PAD[93],pad_fpga_io[93],in,,
TOP,,,,gfpga_pad_GPIO_PAD[94],pad_fpga_io[94],in,,
TOP,,,,gfpga_pad_GPIO_PAD[95],pad_fpga_io[95],in,,
TOP,,,,gfpga_pad_GPIO_PAD[96],pad_fpga_io[96],in,,
TOP,,,,gfpga_pad_GPIO_PAD[97],pad_fpga_io[97],in,,
TOP,,,,gfpga_pad_GPIO_PAD[98],pad_fpga_io[98],in,,
TOP,,,,gfpga_pad_GPIO_PAD[99],pad_fpga_io[99],in,,
TOP,,,,gfpga_pad_GPIO_PAD[100],pad_fpga_io[100],in,,
TOP,,,,gfpga_pad_GPIO_PAD[101],pad_fpga_io[101],in,,
TOP,,,,gfpga_pad_GPIO_PAD[102],pad_fpga_io[102],in,,
TOP,,,,gfpga_pad_GPIO_PAD[103],pad_fpga_io[103],in,,
TOP,,,,gfpga_pad_GPIO_PAD[104],pad_fpga_io[104],in,,
TOP,,,,gfpga_pad_GPIO_PAD[105],pad_fpga_io[105],in,,
TOP,,,,gfpga_pad_GPIO_PAD[106],pad_fpga_io[106],in,,
TOP,,,,gfpga_pad_GPIO_PAD[107],pad_fpga_io[107],in,,
TOP,,,,gfpga_pad_GPIO_PAD[108],pad_fpga_io[108],in,,
TOP,,,,gfpga_pad_GPIO_PAD[109],pad_fpga_io[109],in,,
TOP,,,,gfpga_pad_GPIO_PAD[110],pad_fpga_io[110],in,,
TOP,,,,gfpga_pad_GPIO_PAD[111],pad_fpga_io[111],in,,
TOP,,,,gfpga_pad_GPIO_PAD[112],pad_fpga_io[112],in,,
TOP,,,,gfpga_pad_GPIO_PAD[113],pad_fpga_io[113],in,,
TOP,,,,gfpga_pad_GPIO_PAD[114],pad_fpga_io[114],in,,
TOP,,,,gfpga_pad_GPIO_PAD[115],pad_fpga_io[115],in,,
TOP,,,,gfpga_pad_GPIO_PAD[116],pad_fpga_io[116],in,,
TOP,,,,gfpga_pad_GPIO_PAD[117],pad_fpga_io[117],in,,
